PARAMETERS
Profile,experiment-1
Runs,50
Agent count,500
# teams,10
# trustor per team,50
Team size,20
Team lifetime,5
Noise feature count,6
Recency half-life,50
Temperature,0.2
Maximum rep. queries,20

AGENT PROFILES
name,mean,st.dev,count,features
p1,0.9,0.05,100,f6:1.0 nf4:0.9886044226276057 nf5:0.36414253475503733 nf2:0.778827740510749 nf3:0.13874893619403095 nf0:0.051310099965884426 nf1:0.7682542466715665 f1:1.0 f3:0.0 f2:0.0 f5:0.0 f4:0.0 
p2,0.6,0.15,100,f6:0.0 nf4:0.9886044226276057 nf5:0.36414253475503733 nf2:0.778827740510749 nf3:0.13874893619403095 nf0:0.051310099965884426 nf1:0.7682542466715665 f1:0.0 f3:0.0 f2:1.0 f5:0.0 f4:1.0 
p3,0.4,0.15,100,f6:0.0 nf4:0.9886044226276057 nf5:0.36414253475503733 nf2:0.778827740510749 nf3:0.13874893619403095 nf0:0.051310099965884426 nf1:0.7682542466715665 f1:0.0 f3:1.0 f2:0.0 f5:0.0 f4:1.0 
p4,0.3,0.1,100,f6:0.0 nf4:0.9886044226276057 nf5:0.36414253475503733 nf2:0.778827740510749 nf3:0.13874893619403095 nf0:0.051310099965884426 nf1:0.7682542466715665 f1:0.0 f3:1.0 f2:1.0 f5:1.0 f4:0.0 
p5,0.0,1.0,100,f6:1.0 nf4:0.9886044226276057 nf5:0.36414253475503733 nf2:0.778827740510749 nf3:0.13874893619403095 nf0:0.051310099965884426 nf1:0.7682542466715665 f1:0.0 f3:1.0 f2:1.0 f5:0.0 f4:0.0 

time,condition4,
0,-1.0,
1,0.0,
2,0.3333333333333333,
3,0.5,
4,0.6,
5,0.6666666666666666,
6,0.7142857142857143,
7,0.75,
8,0.7777777777777778,
9,0.8,
10,0.8181818181818182,
11,0.8333333333333334,
12,0.8461538461538461,
13,0.8571428571428571,
14,0.8666666666666667,
15,0.875,
16,0.8823529411764706,
17,0.8888888888888888,
18,0.8947368421052632,
19,0.9,
20,0.9047619047619048,
21,0.9090909090909091,
22,0.9130434782608695,
23,0.9166666666666666,
24,0.92,
25,0.9230769230769231,
26,0.9259259259259259,
27,0.9285714285714286,
28,0.9310344827586207,
29,0.9333333333333333,
30,0.9354838709677419,
31,0.9375,
32,0.9393939393939394,
33,0.9411764705882353,
34,0.9428571428571428,
35,0.9444444444444444,
36,0.9459459459459459,
37,0.9473684210526315,
38,0.9487179487179487,
39,0.95,
40,0.9512195121951219,
41,0.9523809523809523,
