time,condition4,
0,0.0,
1,3.77,
2,5.246666666666666,
3,5.835,
4,6.388,
5,6.79,
6,-15.17886000271319,
7,-37.61141507483278,
8,-58.97509145843154,
9,-79.59107483342622,
10,-98.36289382465094,
11,-118.65861428183263,
12,-132.16202490863398,
13,-146.57617371259352,
14,-159.59853141914266,
15,-169.00523662568233,
16,-175.43434565574356,
17,-182.03260158766065,
18,-203.60084357700964,
19,-221.38100764213792,
20,-243.9541022613071,
21,-262.75097744174417,
22,-281.37347401876536,
23,-299.1072501072865,
24,-314.7153400085829,
25,-331.1621848217312,
26,-349.009204464066,
27,-359.9003147557968,
28,-371.8687211484683,
29,-385.98500086555885,
30,-396.9099589875363,
31,-404.9427819139424,
32,-414.0955491330129,
33,-421.67023578016307,
34,-429.8220604762519,
35,-438.50292838386815,
36,-444.326100390589,
37,-449.37766854159827,
38,-455.52976672360086,
39,-458.7230696209657,
40,-465.2093045728169,
41,-471.3866711936273,
42,-477.6877557042507,
43,-482.0956452367932,
44,-488.6642422350335,
45,-493.410326102604,
46,-498.33050432694984,
47,-502.3092333542987,
48,-522.6655802643694,
